"LINEA","ESTACION","DESDE","ID","prom","X","Y","i.ESTACION","i.LINEA"
"LINEA_H","CASEROS","21:30:00",1,6,-58.3989275853601,-34.635750180343,"CASEROS","H"
"LINEA_H","CASEROS","21:45:00",1,5,-58.3989275853601,-34.635750180343,"CASEROS","H"
"LINEA_H","CASEROS","22:00:00",1,5,-58.3989275853601,-34.635750180343,"CASEROS","H"
"LINEA_H","CASEROS","22:45:00",1,1,-58.3989275853601,-34.635750180343,"CASEROS","H"
"LINEA_H","CASEROS","05:00:00",1,2,-58.3989275853601,-34.635750180343,"CASEROS","H"
"LINEA_H","CASEROS","05:15:00",1,3,-58.3989275853601,-34.635750180343,"CASEROS","H"
"LINEA_H","CASEROS","05:30:00",1,3,-58.3989275853601,-34.635750180343,"CASEROS","H"
"LINEA_H","CASEROS","05:45:00",1,3,-58.3989275853601,-34.635750180343,"CASEROS","H"
"LINEA_H","CASEROS","06:00:00",1,4,-58.3989275853601,-34.635750180343,"CASEROS","H"
"LINEA_H","CASEROS","06:15:00",1,6,-58.3989275853601,-34.635750180343,"CASEROS","H"
"LINEA_H","CASEROS","06:30:00",1,8,-58.3989275853601,-34.635750180343,"CASEROS","H"
"LINEA_H","CASEROS","06:45:00",1,10,-58.3989275853601,-34.635750180343,"CASEROS","H"
"LINEA_H","CASEROS","07:00:00",1,15,-58.3989275853601,-34.635750180343,"CASEROS","H"
"LINEA_H","CASEROS","07:15:00",1,20,-58.3989275853601,-34.635750180343,"CASEROS","H"
"LINEA_H","CASEROS","07:30:00",1,26,-58.3989275853601,-34.635750180343,"CASEROS","H"
"LINEA_H","CASEROS","07:45:00",1,23,-58.3989275853601,-34.635750180343,"CASEROS","H"
"LINEA_H","CASEROS","22:15:00",1,4,-58.3989275853601,-34.635750180343,"CASEROS","H"
"LINEA_H","CASEROS","22:30:00",1,3,-58.3989275853601,-34.635750180343,"CASEROS","H"
"LINEA_H","INCLAN","08:00:00",2,29,-58.4009695560165,-34.6293756575728,"INCLAN","H"
"LINEA_H","INCLAN","08:15:00",2,33,-58.4009695560165,-34.6293756575728,"INCLAN","H"
"LINEA_H","INCLAN","08:30:00",2,36,-58.4009695560165,-34.6293756575728,"INCLAN","H"
"LINEA_H","INCLAN","08:45:00",2,32,-58.4009695560165,-34.6293756575728,"INCLAN","H"
"LINEA_H","INCLAN","09:00:00",2,28,-58.4009695560165,-34.6293756575728,"INCLAN","H"
"LINEA_H","INCLAN","09:15:00",2,29,-58.4009695560165,-34.6293756575728,"INCLAN","H"
"LINEA_H","INCLAN","09:30:00",2,27,-58.4009695560165,-34.6293756575728,"INCLAN","H"
"LINEA_H","INCLAN","09:45:00",2,21,-58.4009695560165,-34.6293756575728,"INCLAN","H"
"LINEA_H","INCLAN","10:00:00",2,19,-58.4009695560165,-34.6293756575728,"INCLAN","H"
"LINEA_H","INCLAN","10:15:00",2,18,-58.4009695560165,-34.6293756575728,"INCLAN","H"
"LINEA_H","INCLAN","10:30:00",2,17,-58.4009695560165,-34.6293756575728,"INCLAN","H"
"LINEA_H","INCLAN","10:45:00",2,16,-58.4009695560165,-34.6293756575728,"INCLAN","H"
"LINEA_H","INCLAN","11:00:00",2,17,-58.4009695560165,-34.6293756575728,"INCLAN","H"
"LINEA_H","INCLAN","11:15:00",2,17,-58.4009695560165,-34.6293756575728,"INCLAN","H"
"LINEA_H","INCLAN","11:30:00",2,17,-58.4009695560165,-34.6293756575728,"INCLAN","H"
"LINEA_H","INCLAN","11:45:00",2,16,-58.4009695560165,-34.6293756575728,"INCLAN","H"
"LINEA_H","INCLAN","12:00:00",2,19,-58.4009695560165,-34.6293756575728,"INCLAN","H"
"LINEA_H","INCLAN","12:15:00",2,20,-58.4009695560165,-34.6293756575728,"INCLAN","H"
"LINEA_H","INCLAN","12:30:00",2,20,-58.4009695560165,-34.6293756575728,"INCLAN","H"
"LINEA_H","INCLAN","12:45:00",2,17,-58.4009695560165,-34.6293756575728,"INCLAN","H"
"LINEA_H","INCLAN","13:00:00",2,20,-58.4009695560165,-34.6293756575728,"INCLAN","H"
"LINEA_H","INCLAN","13:15:00",2,20,-58.4009695560165,-34.6293756575728,"INCLAN","H"
"LINEA_H","INCLAN","13:30:00",2,18,-58.4009695560165,-34.6293756575728,"INCLAN","H"
"LINEA_H","INCLAN","13:45:00",2,17,-58.4009695560165,-34.6293756575728,"INCLAN","H"
"LINEA_H","INCLAN","14:00:00",2,18,-58.4009695560165,-34.6293756575728,"INCLAN","H"
"LINEA_H","INCLAN","14:15:00",2,18,-58.4009695560165,-34.6293756575728,"INCLAN","H"
"LINEA_H","INCLAN","14:30:00",2,18,-58.4009695560165,-34.6293756575728,"INCLAN","H"
"LINEA_H","INCLAN","14:45:00",2,16,-58.4009695560165,-34.6293756575728,"INCLAN","H"
"LINEA_H","INCLAN","15:00:00",2,18,-58.4009695560165,-34.6293756575728,"INCLAN","H"
"LINEA_H","INCLAN","15:15:00",2,19,-58.4009695560165,-34.6293756575728,"INCLAN","H"
"LINEA_H","INCLAN","15:30:00",2,19,-58.4009695560165,-34.6293756575728,"INCLAN","H"
"LINEA_H","INCLAN","15:45:00",2,20,-58.4009695560165,-34.6293756575728,"INCLAN","H"
"LINEA_H","INCLAN","16:00:00",2,28,-58.4009695560165,-34.6293756575728,"INCLAN","H"
"LINEA_H","INCLAN","16:15:00",2,29,-58.4009695560165,-34.6293756575728,"INCLAN","H"
"LINEA_H","INCLAN","16:30:00",2,24,-58.4009695560165,-34.6293756575728,"INCLAN","H"
"LINEA_H","INCLAN","16:45:00",2,22,-58.4009695560165,-34.6293756575728,"INCLAN","H"
"LINEA_H","INCLAN","17:00:00",2,24,-58.4009695560165,-34.6293756575728,"INCLAN","H"
"LINEA_H","INCLAN","17:15:00",2,22,-58.4009695560165,-34.6293756575728,"INCLAN","H"
"LINEA_H","INCLAN","17:30:00",2,24,-58.4009695560165,-34.6293756575728,"INCLAN","H"
"LINEA_H","INCLAN","17:45:00",2,20,-58.4009695560165,-34.6293756575728,"INCLAN","H"
"LINEA_H","INCLAN","18:00:00",2,27,-58.4009695560165,-34.6293756575728,"INCLAN","H"
"LINEA_H","INCLAN","18:15:00",2,20,-58.4009695560165,-34.6293756575728,"INCLAN","H"
"LINEA_H","INCLAN","18:30:00",2,18,-58.4009695560165,-34.6293756575728,"INCLAN","H"
"LINEA_H","INCLAN","18:45:00",2,14,-58.4009695560165,-34.6293756575728,"INCLAN","H"
"LINEA_H","INCLAN","19:00:00",2,15,-58.4009695560165,-34.6293756575728,"INCLAN","H"
"LINEA_H","INCLAN","19:15:00",2,12,-58.4009695560165,-34.6293756575728,"INCLAN","H"
"LINEA_H","INCLAN","19:30:00",2,11,-58.4009695560165,-34.6293756575728,"INCLAN","H"
"LINEA_H","INCLAN","19:45:00",2,10,-58.4009695560165,-34.6293756575728,"INCLAN","H"
"LINEA_H","INCLAN","20:00:00",2,10,-58.4009695560165,-34.6293756575728,"INCLAN","H"
"LINEA_H","INCLAN","20:15:00",2,9,-58.4009695560165,-34.6293756575728,"INCLAN","H"
"LINEA_H","INCLAN","20:30:00",2,8,-58.4009695560165,-34.6293756575728,"INCLAN","H"
"LINEA_H","INCLAN","20:45:00",2,7,-58.4009695560165,-34.6293756575728,"INCLAN","H"
"LINEA_H","INCLAN","21:00:00",2,8,-58.4009695560165,-34.6293756575728,"INCLAN","H"
"LINEA_H","INCLAN","21:15:00",2,9,-58.4009695560165,-34.6293756575728,"INCLAN","H"
"LINEA_H","INCLAN","21:30:00",2,9,-58.4009695560165,-34.6293756575728,"INCLAN","H"
"LINEA_H","INCLAN","21:45:00",2,7,-58.4009695560165,-34.6293756575728,"INCLAN","H"
"LINEA_H","INCLAN","22:00:00",2,6,-58.4009695560165,-34.6293756575728,"INCLAN","H"
"LINEA_H","INCLAN","22:15:00",2,6,-58.4009695560165,-34.6293756575728,"INCLAN","H"
"LINEA_H","INCLAN","22:30:00",2,4,-58.4009695560165,-34.6293756575728,"INCLAN","H"
"LINEA_H","INCLAN","05:00:00",2,4,-58.4009695560165,-34.6293756575728,"INCLAN","H"
"LINEA_H","INCLAN","05:15:00",2,3,-58.4009695560165,-34.6293756575728,"INCLAN","H"
"LINEA_H","INCLAN","05:30:00",2,3,-58.4009695560165,-34.6293756575728,"INCLAN","H"
"LINEA_H","INCLAN","05:45:00",2,5,-58.4009695560165,-34.6293756575728,"INCLAN","H"
"LINEA_H","INCLAN","06:00:00",2,7,-58.4009695560165,-34.6293756575728,"INCLAN","H"
"LINEA_H","INCLAN","06:15:00",2,11,-58.4009695560165,-34.6293756575728,"INCLAN","H"
"LINEA_H","INCLAN","06:30:00",2,14,-58.4009695560165,-34.6293756575728,"INCLAN","H"
"LINEA_H","INCLAN","06:45:00",2,13,-58.4009695560165,-34.6293756575728,"INCLAN","H"
"LINEA_H","INCLAN","07:00:00",2,18,-58.4009695560165,-34.6293756575728,"INCLAN","H"
"LINEA_H","INCLAN","07:15:00",2,24,-58.4009695560165,-34.6293756575728,"INCLAN","H"
"LINEA_H","INCLAN","07:30:00",2,27,-58.4009695560165,-34.6293756575728,"INCLAN","H"
"LINEA_H","INCLAN","07:45:00",2,27,-58.4009695560165,-34.6293756575728,"INCLAN","H"
"LINEA_H","INCLAN","22:45:00",2,2,-58.4009695560165,-34.6293756575728,"INCLAN","H"
"LINEA_H","HUMBERTO I","08:00:00",3,24,-58.402322730424,-34.6230923205019,"HUMBERTO 1°","H"
"LINEA_H","HUMBERTO I","08:15:00",3,30,-58.402322730424,-34.6230923205019,"HUMBERTO 1°","H"
"LINEA_H","HUMBERTO I","08:30:00",3,35,-58.402322730424,-34.6230923205019,"HUMBERTO 1°","H"
"LINEA_H","HUMBERTO I","08:45:00",3,31,-58.402322730424,-34.6230923205019,"HUMBERTO 1°","H"
"LINEA_H","HUMBERTO I","09:00:00",3,28,-58.402322730424,-34.6230923205019,"HUMBERTO 1°","H"
"LINEA_H","HUMBERTO I","09:15:00",3,27,-58.402322730424,-34.6230923205019,"HUMBERTO 1°","H"
"LINEA_H","HUMBERTO I","09:30:00",3,27,-58.402322730424,-34.6230923205019,"HUMBERTO 1°","H"
"LINEA_H","HUMBERTO I","09:45:00",3,22,-58.402322730424,-34.6230923205019,"HUMBERTO 1°","H"
"LINEA_H","HUMBERTO I","10:00:00",3,21,-58.402322730424,-34.6230923205019,"HUMBERTO 1°","H"
"LINEA_H","HUMBERTO I","10:15:00",3,20,-58.402322730424,-34.6230923205019,"HUMBERTO 1°","H"
"LINEA_H","HUMBERTO I","10:30:00",3,20,-58.402322730424,-34.6230923205019,"HUMBERTO 1°","H"
"LINEA_H","HUMBERTO I","10:45:00",3,19,-58.402322730424,-34.6230923205019,"HUMBERTO 1°","H"
"LINEA_H","HUMBERTO I","11:00:00",3,19,-58.402322730424,-34.6230923205019,"HUMBERTO 1°","H"
"LINEA_H","HUMBERTO I","11:15:00",3,20,-58.402322730424,-34.6230923205019,"HUMBERTO 1°","H"
"LINEA_H","HUMBERTO I","11:30:00",3,21,-58.402322730424,-34.6230923205019,"HUMBERTO 1°","H"
"LINEA_H","HUMBERTO I","11:45:00",3,20,-58.402322730424,-34.6230923205019,"HUMBERTO 1°","H"
"LINEA_H","HUMBERTO I","12:00:00",3,21,-58.402322730424,-34.6230923205019,"HUMBERTO 1°","H"
"LINEA_H","HUMBERTO I","12:15:00",3,23,-58.402322730424,-34.6230923205019,"HUMBERTO 1°","H"
"LINEA_H","HUMBERTO I","12:30:00",3,23,-58.402322730424,-34.6230923205019,"HUMBERTO 1°","H"
"LINEA_H","HUMBERTO I","12:45:00",3,22,-58.402322730424,-34.6230923205019,"HUMBERTO 1°","H"
"LINEA_H","HUMBERTO I","13:00:00",3,23,-58.402322730424,-34.6230923205019,"HUMBERTO 1°","H"
"LINEA_H","HUMBERTO I","13:15:00",3,24,-58.402322730424,-34.6230923205019,"HUMBERTO 1°","H"
"LINEA_H","HUMBERTO I","13:30:00",3,24,-58.402322730424,-34.6230923205019,"HUMBERTO 1°","H"
"LINEA_H","HUMBERTO I","13:45:00",3,21,-58.402322730424,-34.6230923205019,"HUMBERTO 1°","H"
"LINEA_H","HUMBERTO I","14:00:00",3,22,-58.402322730424,-34.6230923205019,"HUMBERTO 1°","H"
"LINEA_H","HUMBERTO I","14:15:00",3,23,-58.402322730424,-34.6230923205019,"HUMBERTO 1°","H"
"LINEA_H","HUMBERTO I","14:30:00",3,21,-58.402322730424,-34.6230923205019,"HUMBERTO 1°","H"
"LINEA_H","HUMBERTO I","14:45:00",3,19,-58.402322730424,-34.6230923205019,"HUMBERTO 1°","H"
"LINEA_H","HUMBERTO I","15:00:00",3,24,-58.402322730424,-34.6230923205019,"HUMBERTO 1°","H"
"LINEA_H","HUMBERTO I","15:15:00",3,22,-58.402322730424,-34.6230923205019,"HUMBERTO 1°","H"
"LINEA_H","HUMBERTO I","15:30:00",3,22,-58.402322730424,-34.6230923205019,"HUMBERTO 1°","H"
"LINEA_H","HUMBERTO I","15:45:00",3,20,-58.402322730424,-34.6230923205019,"HUMBERTO 1°","H"
"LINEA_H","HUMBERTO I","16:00:00",3,25,-58.402322730424,-34.6230923205019,"HUMBERTO 1°","H"
"LINEA_H","HUMBERTO I","16:15:00",3,24,-58.402322730424,-34.6230923205019,"HUMBERTO 1°","H"
"LINEA_H","HUMBERTO I","16:30:00",3,23,-58.402322730424,-34.6230923205019,"HUMBERTO 1°","H"
"LINEA_H","HUMBERTO I","16:45:00",3,21,-58.402322730424,-34.6230923205019,"HUMBERTO 1°","H"
"LINEA_H","HUMBERTO I","17:00:00",3,26,-58.402322730424,-34.6230923205019,"HUMBERTO 1°","H"
"LINEA_H","HUMBERTO I","17:15:00",3,26,-58.402322730424,-34.6230923205019,"HUMBERTO 1°","H"
"LINEA_H","HUMBERTO I","17:30:00",3,26,-58.402322730424,-34.6230923205019,"HUMBERTO 1°","H"
"LINEA_H","HUMBERTO I","17:45:00",3,23,-58.402322730424,-34.6230923205019,"HUMBERTO 1°","H"
"LINEA_H","HUMBERTO I","18:00:00",3,31,-58.402322730424,-34.6230923205019,"HUMBERTO 1°","H"
"LINEA_H","HUMBERTO I","18:15:00",3,24,-58.402322730424,-34.6230923205019,"HUMBERTO 1°","H"
"LINEA_H","HUMBERTO I","18:30:00",3,23,-58.402322730424,-34.6230923205019,"HUMBERTO 1°","H"
"LINEA_H","HUMBERTO I","18:45:00",3,18,-58.402322730424,-34.6230923205019,"HUMBERTO 1°","H"
"LINEA_H","HUMBERTO I","19:00:00",3,20,-58.402322730424,-34.6230923205019,"HUMBERTO 1°","H"
"LINEA_H","HUMBERTO I","19:15:00",3,17,-58.402322730424,-34.6230923205019,"HUMBERTO 1°","H"
"LINEA_H","HUMBERTO I","19:30:00",3,14,-58.402322730424,-34.6230923205019,"HUMBERTO 1°","H"
"LINEA_H","HUMBERTO I","19:45:00",3,12,-58.402322730424,-34.6230923205019,"HUMBERTO 1°","H"
"LINEA_H","HUMBERTO I","20:00:00",3,15,-58.402322730424,-34.6230923205019,"HUMBERTO 1°","H"
"LINEA_H","HUMBERTO I","20:15:00",3,15,-58.402322730424,-34.6230923205019,"HUMBERTO 1°","H"
